PassengerId,Pclass,Sex,Age,Fare,PassengerId_plus_Survived,Survived
112,3,male,36.3,27.14,112,0
113,3,male,15.9,23.32,1113,1
114,1,male,25.2,18.01,1114,1
115,3,male,43.6,12.2,1115,1
116,3,male,30.7,18.25,1116,1
117,1,male,56.8,47.57,1117,1
118,2,female,33.7,29.48,118,0
119,3,male,31.3,71.38,1119,1
120,3,male,25.3,18.75,120,0
121,1,female,30.6,29.89,1121,1
122,1,female,27.2,31.93,1122,1
123,2,female,37.5,28.66,123,0
124,2,female,40.5,38.81,124,0
125,3,female,19.6,8.67,125,0
126,2,male,13.0,22.98,126,0
127,2,male,7.0,3.52,1127,1
128,3,male,35.1,15.53,1128,1
129,1,male,15.8,21.4,129,0
130,2,male,3.2,33.8,130,0
131,3,female,33.7,96.21,131,0
132,3,male,58.9,29.37,132,0
133,3,male,28.9,43.55,133,0
134,3,male,39.1,22.58,134,0
135,1,female,30.0,32.17,1135,1
136,2,male,27.8,2.35,136,0
137,3,female,40.0,9.39,137,0
138,1,male,25.5,14.37,1138,1
139,2,male,32.2,20.47,139,0
140,2,male,32.9,1.5,1140,1
141,1,female,21.0,4.83,1141,1
142,2,male,40.9,10.37,142,0
143,1,female,26.9,113.89,143,0
144,2,male,19.9,12.88,144,0
145,1,male,35.4,21.05,145,0
146,3,female,18.2,6.98,146,0
147,3,female,29.3,30.2,1147,1
148,3,female,28.9,10.54,148,0
149,3,female,42.0,7.42,149,0
150,2,female,34.7,23.26,150,0
151,1,female,28.7,0.18,1151,1
152,3,female,38.8,0.25,152,0
153,3,female,45.7,7.91,153,0
154,3,female,35.7,1.2,154,0
155,2,female,29.1,3.66,1155,1
156,1,female,13.3,13.24,156,0
157,2,male,16.2,51.92,1157,1
158,2,female,25.3,27.16,1158,1
159,3,female,21.7,23.0,159,0
160,3,male,26.8,11.12,1160,1
161,2,female,29.7,85.91,161,0
162,3,male,35.4,16.19,1162,1
163,3,male,28.2,2.92,1163,1
164,1,female,34.8,30.72,164,0
165,1,male,29.8,3.87,165,0
166,1,female,5.3,13.55,1166,1
167,1,female,17.7,22.66,167,0
168,1,male,27.3,66.34,168,0
169,1,male,14.5,21.77,169,0
170,2,male,36.2,38.77,170,0
171,1,female,47.4,157.95,1171,1
172,3,female,43.6,4.51,172,0
173,1,female,26.4,10.28,173,0
174,3,male,46.9,16.06,174,0
175,2,female,30.8,17.53,1175,1
176,3,male,25.0,16.94,176,0
177,1,female,21.6,76.22,1177,1
178,2,male,25.4,40.06,178,0
179,3,female,24.3,29.96,1179,1
180,3,male,31.0,11.84,180,0
181,3,female,30.9,55.55,181,0
182,2,male,29.0,99.28,182,0
183,1,female,34.2,55.09,1183,1
184,3,female,43.3,0.05,1184,1
185,3,male,40.4,32.37,185,0
186,3,female,11.2,1.68,1186,1
187,3,female,1.0,9.53,1187,1
188,2,male,40.2,1.96,188,0
189,3,male,12.6,29.63,189,0
190,1,female,26.3,37.13,190,0
191,2,male,15.0,3.89,191,0
192,2,male,7.4,15.5,1192,1
193,3,male,35.5,19.5,1193,1
194,1,female,38.1,14.74,1194,1
195,1,male,22.1,4.13,195,0
196,3,female,1.0,17.37,196,0
197,2,female,22.4,44.51,1197,1
198,3,female,33.7,2.36,1198,1
199,1,female,11.3,2.67,1199,1
200,2,male,31.2,14.02,1200,1
201,3,female,28.8,90.96,1201,1
202,1,male,36.0,35.34,202,0
203,2,male,30.4,36.33,203,0
204,1,male,17.3,14.38,1204,1
205,1,male,43.4,28.82,1205,1
206,3,female,27.1,0.33,206,0
207,2,female,28.7,32.35,207,0
208,3,male,17.8,78.24,1208,1
209,2,male,23.7,30.34,209,0
210,3,female,18.4,66.21,210,0
211,3,male,26.9,41.19,211,0
212,3,male,49.5,4.11,1212,1
213,2,male,12.5,74.48,1213,1
214,2,female,9.6,2.2,214,0
215,2,female,46.7,24.43,1215,1
216,3,male,26.5,4.91,216,0
217,3,male,21.0,0.38,217,0
218,3,female,41.5,17.54,1218,1
219,1,female,21.7,11.19,1219,1
220,3,male,50.9,21.3,1220,1
221,3,female,37.1,27.55,1221,1
222,1,male,23.1,1.43,222,0
223,1,male,54.9,4.2,223,0
224,3,female,21.7,26.17,224,0
225,3,male,37.9,13.45,225,0
226,3,female,32.6,41.8,226,0
227,1,male,44.6,33.8,1227,1
228,3,male,47.7,59.78,228,0
229,1,female,29.4,37.74,1229,1
230,1,male,20.0,17.98,1230,1
231,1,female,34.5,35.77,1231,1
232,3,male,20.9,10.31,232,0
233,3,male,53.2,11.7,233,0
234,3,male,30.6,49.79,234,0
235,2,female,24.6,18.92,235,0
236,3,male,31.2,51.24,1236,1
237,2,female,12.8,55.31,237,0
238,3,male,17.3,62.36,238,0
239,2,female,43.4,79.5,1239,1
240,2,male,21.1,18.04,240,0
241,2,female,16.4,12.29,1241,1
242,2,female,35.4,27.93,1242,1
243,3,female,43.2,14.84,1243,1
244,3,female,37.6,29.41,244,0
245,1,female,41.0,39.13,245,0
246,3,female,19.9,37.31,1246,1
247,2,male,11.9,15.02,247,0
248,3,male,47.0,5.84,1248,1
249,3,female,25.1,18.02,1249,1
250,3,female,26.0,4.92,1250,1
251,1,female,44.9,70.66,251,0
252,3,male,35.7,13.58,252,0
253,3,male,34.5,5.37,1253,1
254,2,male,55.0,0.82,254,0
255,1,female,21.3,33.21,255,0
256,3,male,40.1,32.42,256,0
257,3,male,29.7,13.33,1257,1
258,3,male,32.2,2.38,1258,1
259,3,male,47.3,16.86,259,0
260,3,male,35.1,11.93,260,0
261,1,male,35.5,36.18,1261,1
262,2,female,41.9,29.79,1262,1
263,1,male,24.6,14.51,263,0
264,3,male,18.9,7.86,264,0
265,1,male,16.5,141.63,1265,1
266,3,male,5.4,19.36,1266,1
267,3,male,53.7,37.3,1267,1
268,3,male,15.8,4.85,1268,1
269,2,female,26.3,21.27,269,0
270,3,male,25.7,0.89,270,0
271,1,female,32.7,22.53,1271,1
272,3,female,38.8,106.39,1272,1
273,1,female,39.3,15.52,1273,1
274,2,male,22.0,1.27,1274,1
275,3,male,27.0,1.01,275,0
276,1,male,32.4,15.71,276,0
277,1,male,26.0,5.58,1277,1
278,3,female,48.3,0.76,1278,1
279,3,male,34.9,45.17,1279,1
280,3,male,37.8,19.63,1280,1
281,3,female,37.0,10.93,1281,1
282,3,female,43.1,73.71,282,0
283,2,male,31.2,3.95,283,0
284,2,male,13.4,99.9,284,0
285,1,male,33.8,12.06,285,0
286,3,male,21.2,70.17,286,0
287,3,male,22.7,29.56,287,0
288,2,male,36.0,56.09,288,0
289,2,male,43.9,132.35,289,0
290,3,male,29.3,10.89,290,0
291,1,male,32.7,103.93,291,0
292,3,male,49.4,15.79,292,0
293,3,male,31.9,15.58,1293,1
294,3,female,60.2,13.32,294,0
295,1,female,35.8,24.95,295,0
296,3,male,7.9,5.36,296,0
297,3,male,38.0,25.82,1297,1
298,3,male,33.6,24.97,298,0
299,3,female,44.5,45.92,1299,1
300,3,female,37.1,57.4,300,0
301,3,male,27.3,18.58,301,0
302,1,female,14.3,11.52,302,0
303,3,male,26.5,9.61,303,0
304,3,male,18.8,6.93,1304,1
305,2,female,22.0,1.9,1305,1
306,3,female,36.1,13.42,1306,1
307,3,female,49.0,10.08,307,0
308,3,female,33.7,108.6,308,0
309,2,male,14.6,26.11,1309,1
310,1,female,34.3,13.65,310,0
311,3,male,43.4,27.8,311,0
312,3,female,21.7,4.8,312,0
313,1,male,27.4,18.79,313,0
314,3,female,29.2,31.49,1314,1
315,3,male,19.6,21.48,1315,1
316,3,female,36.8,16.44,1316,1
317,3,male,27.5,162.91,317,0
318,2,female,34.0,67.93,318,0
319,1,male,18.4,31.25,319,0
320,2,male,23.8,26.96,320,0
321,3,male,37.7,31.02,321,0
322,1,male,24.5,7.19,1322,1
323,2,female,49.7,16.09,1323,1
324,2,male,24.2,1.29,324,0
325,3,female,31.7,20.65,1325,1
326,3,male,40.2,25.06,1326,1
327,2,male,12.0,8.27,327,0
328,2,female,7.9,106.4,1328,1
329,3,female,10.7,76.86,329,0
330,2,male,44.2,40.98,330,0
331,1,male,22.4,24.39,331,0
332,2,female,59.7,65.28,1332,1
333,1,male,22.2,4.48,333,0
334,1,female,31.2,50.02,334,0
335,2,female,47.5,4.27,335,0
336,2,female,53.1,50.59,336,0
337,3,male,53.7,10.32,1337,1
338,2,female,43.5,67.08,1338,1
339,3,male,41.3,92.26,339,0
340,3,male,36.1,5.16,340,0
341,1,male,38.3,19.88,341,0
342,3,male,22.4,126.8,342,0
343,1,female,19.2,21.14,343,0
344,3,female,29.0,63.74,344,0
345,1,female,27.0,28.43,345,0
346,2,male,23.6,15.06,1346,1
347,1,male,37.4,10.77,1347,1
348,3,male,40.5,7.27,348,0
349,3,female,30.1,45.91,349,0
350,3,male,46.7,15.64,1350,1
351,1,female,15.3,22.91,351,0
352,3,male,26.7,21.69,1352,1
353,1,male,20.4,27.55,1353,1
354,3,female,6.6,64.22,354,0
355,1,male,28.0,126.39,355,0
356,1,female,27.5,16.75,1356,1
357,1,female,47.2,56.24,357,0
358,2,male,36.6,46.28,358,0
359,3,male,16.7,27.27,1359,1
360,1,male,51.2,99.99,360,0
361,3,female,43.7,7.16,361,0
362,2,male,36.0,3.7,1362,1
363,3,female,26.3,61.56,363,0
364,2,female,17.5,18.51,364,0
365,2,female,24.5,60.07,1365,1
366,3,male,42.1,71.54,366,0
367,1,female,51.6,2.06,1367,1
368,1,female,47.5,68.79,1368,1
369,3,male,23.1,19.03,369,0
370,3,male,15.6,22.86,370,0
371,2,female,30.7,31.52,371,0
372,2,male,7.8,83.48,372,0
373,3,female,32.9,0.62,373,0
374,2,male,27.2,20.73,1374,1
375,1,male,23.4,37.24,375,0
376,1,female,9.9,41.05,376,0
377,3,male,35.2,37.74,1377,1
378,3,male,22.6,4.62,378,0
379,1,male,15.0,11.39,1379,1
380,1,male,1.0,14.22,380,0
381,1,male,28.7,52.22,381,0
382,3,male,50.3,10.46,1382,1
383,1,female,48.9,7.57,1383,1
384,1,male,23.5,101.02,1384,1
385,3,female,21.8,0.28,1385,1
386,1,male,34.6,196.12,1386,1
387,3,female,17.0,36.15,387,0
388,1,male,32.6,56.42,388,0
389,1,female,38.2,11.17,1389,1
390,1,male,43.7,0.46,1390,1
391,3,male,27.8,42.85,1391,1
392,3,male,26.6,57.49,392,0
393,3,male,18.5,43.17,393,0
394,2,male,19.1,4.93,1394,1
395,3,male,26.3,44.8,395,0
396,1,female,33.4,46.88,1396,1
397,2,male,40.0,34.38,1397,1
398,3,male,19.4,46.49,398,0
399,1,female,46.9,59.85,1399,1
400,1,female,25.7,30.43,1400,1
401,1,male,28.7,2.97,401,0
402,1,male,20.0,21.4,1402,1
403,1,male,1.0,2.59,403,0
404,3,female,39.6,16.75,1404,1
405,2,female,37.8,16.73,405,0
406,3,male,25.6,2.19,1406,1
407,3,female,29.8,13.73,407,0
408,2,female,35.2,3.76,408,0
409,2,male,10.2,52.85,1409,1
410,2,female,22.7,94.42,410,0
411,3,male,38.5,2.4,411,0
412,2,male,13.9,99.32,1412,1
413,3,male,32.5,23.66,1413,1
414,2,male,12.7,11.39,414,0
415,3,male,34.6,2.56,1415,1
416,2,female,28.6,22.22,416,0
417,2,male,9.6,50.64,417,0
418,3,male,43.0,39.29,418,0
419,3,male,20.2,1.65,1419,1
420,1,female,19.3,2.42,1420,1
421,3,male,31.4,16.5,1421,1
422,2,male,42.8,11.2,1422,1
423,3,male,16.8,8.46,423,0
424,3,male,29.7,10.56,424,0
425,2,female,34.1,52.06,425,0
426,1,female,37.3,84.75,426,0
427,2,male,31.1,16.62,427,0
428,3,female,24.6,75.7,1428,1
429,3,female,19.1,12.41,429,0
430,2,female,30.0,20.71,430,0
431,1,male,16.1,8.2,431,0
432,3,male,1.0,32.74,1432,1
433,3,male,34.2,123.59,1433,1
434,3,female,39.8,29.6,434,0
435,1,male,1.0,14.17,435,0
436,2,male,16.9,33.4,1436,1
437,1,male,36.4,4.2,437,0
438,3,female,53.7,70.25,1438,1
439,1,male,29.2,22.38,1439,1
440,3,female,20.3,19.09,440,0
441,2,female,26.8,28.21,441,0
442,3,male,45.5,31.37,1442,1
443,3,female,21.2,2.38,443,0
444,3,male,19.4,36.72,444,0
445,1,female,23.2,8.86,1445,1
446,1,male,17.6,40.05,1446,1
447,1,female,30.5,55.33,1447,1
448,3,female,48.5,52.14,1448,1
449,3,female,32.9,25.73,449,0
450,3,female,26.0,23.5,450,0
451,3,male,25.5,4.93,1451,1
452,3,female,10.2,47.78,452,0
453,1,female,39.6,10.13,453,0
454,3,male,28.1,21.97,1454,1
455,2,male,26.8,10.7,455,0
456,2,female,67.3,4.6,456,0
457,3,female,32.6,31.78,457,0
458,1,female,20.0,1.79,458,0
459,1,male,23.9,44.19,459,0
460,3,female,42.8,12.23,460,0
461,1,male,30.4,0.0,461,0
462,3,female,11.7,22.9,1462,1
463,1,male,40.0,1.54,1463,1
464,2,female,21.0,10.34,464,0
465,2,female,51.5,39.28,1465,1
466,2,male,42.0,2.07,466,0
467,3,female,23.6,58.51,467,0
468,2,male,44.4,0.12,1468,1
469,3,female,29.8,9.07,469,0
470,2,female,39.2,43.22,1470,1
471,3,male,34.8,12.17,471,0
472,3,female,18.8,3.44,1472,1
473,3,female,21.3,14.29,473,0
474,1,male,41.4,10.09,1474,1
475,1,male,25.0,59.19,475,0
476,2,female,24.2,12.03,1476,1
477,3,female,17.5,49.78,477,0
478,1,female,34.1,71.18,478,0
479,2,female,53.8,18.2,1479,1
480,3,male,16.2,77.03,480,0
481,2,female,29.3,15.16,1481,1
482,3,male,45.9,106.45,1482,1
483,1,male,28.0,2.99,483,0
484,1,male,34.4,37.17,1484,1
485,3,male,16.3,21.79,485,0
486,2,male,34.1,15.69,1486,1
487,3,male,26.8,32.05,487,0
488,2,female,40.8,38.94,488,0
489,1,male,43.2,0.14,1489,1
490,3,male,60.1,5.85,1490,1
491,3,male,36.0,39.95,491,0
492,3,male,32.9,35.13,1492,1
493,2,male,31.3,108.25,493,0
494,3,male,24.8,45.81,494,0
495,2,female,33.1,96.36,495,0
496,1,female,25.5,38.8,496,0
497,3,female,31.0,11.32,497,0
498,1,male,44.8,3.56,498,0
499,3,male,16.9,48.72,1499,1
500,2,female,42.7,33.06,1500,1
