Age,Income,CreditScore,Gender,LoanAmount,Approved
38,151702.0,819,Female,85419.0,1
38,115054.0,811,Male,37031.0,0
47,108084.0,639,Male,45102.0,1
34,111736.0,725,Female,23262.0,1
38,106721.0,845,Female,43622.0,0
59,106045.0,623,Female,48227.0,0
38,88343.0,637,Male,25948.0,1
35,108387.0,670,Female,46777.0,1
27,118712.0,815,Male,54473.0,0
56,121508.0,639,Male,57687.0,1
35,118478.0,741,Male,60490.0,1
29,132702.0,756,Female,43066.0,0
36,123072.0,699,Male,52566.0,1
48,110713.0,773,Male,65612.0,1
34,66408.0,721,Female,37139.0,0
52,66418.0,644,Male,38593.0,1
56,88797.0,815,Male,31474.0,1
27,96169.0,788,Male,49505.0,0
26,129950.0,678,Female,58212.0,0
43,30000.0,664,Female,6993.0,1
44,69170.0,660,Male,36632.0,1
46,90144.0,657,Female,42444.0,1
55,70079.0,736,Female,19592.0,1
47,75047.0,638,Male,17403.0,1
26,82521.0,633,Female,44133.0,0
47,71354.0,746,Female,16523.0,1
41,75689.0,768,Female,17904.0,0
27,129081.0,762,Male,47884.0,1
27,110358.0,622,Female,28022.0,1
39,114099.0,656,Female,64519.0,1
25,94147.0,736,Male,36540.0,1
38,120278.0,793,Male,51438.0,1
35,116195.0,635,Male,66375.0,0
35,109963.0,761,Male,45317.0,1
34,78646.0,628,Female,26853.0,0
28,83949.0,626,Male,43558.0,0
36,121453.0,761,Male,45805.0,1
40,82082.0,753,Female,26873.0,1
64,62787.0,832,Male,30721.0,1
56,81600.0,634,Female,42484.0,0
38,133985.0,799,Male,69228.0,0
56,81624.0,691,Male,48246.0,0
40,103191.0,781,Male,53109.0,1
41,79608.0,723,Male,40439.0,0
57,114086.0,748,Male,61948.0,1
56,108420.0,715,Female,21692.0,0
53,57720.0,741,Female,19912.0,0
61,101701.0,734,Male,50346.0,0
45,52935.0,816,Female,23286.0,0
38,81148.0,841,Female,21994.0,0
28,94714.0,833,Female,30450.0,0
64,141172.0,767,Male,47253.0,1
22,102948.0,699,Male,43972.0,1
56,75823.0,626,Male,40386.0,1
53,87070.0,754,Female,49891.0,0
57,118105.0,669,Female,59057.0,0
34,76162.0,749,Male,40913.0,0
27,122424.0,666,Male,47505.0,1
35,81924.0,633,Female,29157.0,1
58,72117.0,650,Female,25752.0,0
36,82725.0,669,Female,36930.0,1
25,54593.0,808,Female,13632.0,1
61,40686.0,660,Male,17568.0,1
37,92937.0,633,Female,43313.0,0
49,93318.0,752,Female,35047.0,1
37,101412.0,822,Male,58947.0,1
25,92813.0,624,Female,41143.0,0
47,153231.0,811,Female,44131.0,1
49,99210.0,776,Male,38859.0,1
53,60588.0,822,Female,28486.0,0
23,67002.0,624,Female,22074.0,0
52,95008.0,732,Female,22028.0,1
24,84114.0,737,Male,36453.0,1
29,64288.0,715,Male,37232.0,1
45,93529.0,655,Female,36853.0,0
36,93894.0,698,Male,52810.0,1
64,134892.0,638,Female,72034.0,0
52,72098.0,811,Female,18671.0,0
30,84557.0,641,Male,40864.0,1
60,134815.0,781,Female,50446.0,0
23,103215.0,675,Female,30975.0,0
29,71951.0,636,Male,34161.0,1
28,77132.0,823,Female,38339.0,0
60,64646.0,836,Female,17581.0,0
63,96932.0,803,Female,54842.0,1
37,120779.0,636,Female,60445.0,0
56,135773.0,821,Male,77845.0,1
51,57843.0,839,Female,18905.0,0
31,116728.0,829,Female,67204.0,0
59,99108.0,765,Female,34431.0,0
39,88452.0,792,Female,19600.0,0
26,84567.0,843,Male,42722.0,0
50,46977.0,697,Female,22615.0,1
60,110950.0,675,Male,48725.0,1
55,62029.0,699,Male,24561.0,1
64,76295.0,669,Male,16241.0,1
44,105450.0,677,Female,47435.0,0
26,49584.0,637,Female,18184.0,1
51,61980.0,827,Female,26285.0,0
27,125467.0,828,Female,46640.0,1
25,98051.0,754,Female,57500.0,0
50,78445.0,695,Female,34645.0,0
44,98150.0,845,Male,49045.0,0
27,111737.0,629,Male,64197.0,0
53,123119.0,688,Male,53759.0,1
63,67189.0,704,Female,13762.0,1
39,69379.0,750,Female,14827.0,1
36,110209.0,702,Male,53003.0,1
61,111010.0,728,Male,34595.0,1
53,61401.0,663,Female,26510.0,0
30,70317.0,846,Male,19753.0,1
58,90156.0,817,Female,27777.0,1
31,95589.0,761,Female,38413.0,0
41,96298.0,751,Male,56838.0,1
27,61017.0,637,Male,27245.0,1
24,96046.0,712,Female,55174.0,0
63,77066.0,846,Female,44987.0,1
32,65842.0,799,Female,18649.0,0
64,94725.0,657,Female,30736.0,0
38,92175.0,827,Male,46825.0,0
53,115042.0,767,Female,62894.0,1
25,73476.0,835,Female,29955.0,0
25,100879.0,846,Female,60254.0,1
38,55783.0,791,Male,11415.0,1
62,88129.0,670,Female,28187.0,1
40,106592.0,638,Female,47888.0,0
26,108701.0,739,Male,42145.0,1
53,108871.0,687,Male,26852.0,1
43,115109.0,844,Female,39956.0,0
27,83855.0,685,Male,17625.0,0
56,107393.0,760,Male,49089.0,0
43,141719.0,809,Male,78951.0,1
22,83322.0,808,Female,46156.0,1
41,129505.0,777,Female,62139.0,1
43,116912.0,717,Female,45164.0,1
32,88342.0,777,Male,35762.0,0
34,90428.0,798,Female,23038.0,1
63,97960.0,707,Female,32954.0,0
24,115504.0,795,Female,31774.0,0
30,105066.0,652,Female,55525.0,1
33,83125.0,724,Male,47041.0,1
44,42949.0,693,Female,17814.0,1
35,111804.0,701,Male,54908.0,1
54,46688.0,638,Female,11606.0,1
39,60851.0,690,Male,26982.0,0
62,84938.0,676,Male,40865.0,1
30,64648.0,766,Male,24638.0,1
44,102938.0,835,Female,30604.0,1
31,87595.0,698,Male,48261.0,1
40,114631.0,788,Female,56990.0,0
26,54807.0,661,Male,30689.0,1
44,78453.0,834,Male,41373.0,1
51,95105.0,799,Female,56697.0,0
46,96068.0,735,Male,26598.0,1
49,112351.0,623,Male,26369.0,1
55,72135.0,849,Female,24151.0,1
46,83300.0,623,Male,20958.0,1
31,107684.0,624,Male,44070.0,1
35,40036.0,660,Male,18145.0,1
63,104623.0,727,Female,45126.0,1
51,114099.0,706,Female,34651.0,0
62,61658.0,723,Female,34746.0,1
46,87124.0,736,Female,18163.0,0
35,132316.0,720,Male,44882.0,1
56,111496.0,808,Male,54365.0,0
55,106174.0,694,Female,53806.0,1
31,119774.0,802,Male,43891.0,1
56,140114.0,694,Male,28970.0,1
32,95463.0,632,Male,42693.0,1
32,84820.0,761,Male,19105.0,1
42,119713.0,807,Female,29107.0,1
42,90314.0,819,Male,41553.0,1
43,71800.0,644,Female,23335.0,0
28,81498.0,829,Male,27645.0,0
38,102808.0,734,Female,40581.0,0
23,83760.0,791,Male,49538.0,1
33,85626.0,701,Male,50192.0,1
63,69317.0,629,Female,25405.0,0
39,130884.0,818,Female,40077.0,0
32,86434.0,669,Male,27749.0,0
37,77212.0,791,Male,23744.0,1
39,79872.0,761,Male,32979.0,1
56,115063.0,634,Male,50944.0,1
47,109330.0,635,Male,43241.0,1
37,82454.0,621,Male,29947.0,1
27,95808.0,777,Male,27259.0,0
64,101918.0,649,Male,40054.0,1
63,77398.0,701,Female,26040.0,1
33,56484.0,650,Female,23534.0,1
34,107876.0,696,Female,50710.0,1
25,78782.0,767,Male,35714.0,1
60,106009.0,796,Male,40813.0,1
23,103026.0,733,Female,43520.0,1
47,96395.0,654,Male,30262.0,0
48,84347.0,642,Male,17687.0,1
48,79152.0,725,Female,35619.0,0
36,66540.0,716,Female,20030.0,0
29,79631.0,849,Female,37234.0,0
28,109220.0,846,Male,54479.0,1
61,129946.0,734,Male,73597.0,1
33,126277.0,719,Female,73651.0,0
34,98636.0,808,Male,20142.0,1
64,129932.0,831,Female,77459.0,1
38,87330.0,674,Female,41325.0,0
38,62724.0,814,Female,28690.0,1
57,143022.0,627,Male,29475.0,1
42,108320.0,787,Male,58980.0,1
29,56634.0,678,Female,14623.0,0
26,133976.0,747,Female,71668.0,0
47,76414.0,651,Female,15759.0,1
37,81853.0,712,Male,37520.0,1
57,120535.0,626,Male,45070.0,0
49,129043.0,621,Female,36172.0,1
50,69982.0,704,Female,17007.0,0
33,131775.0,753,Female,49554.0,1
58,116856.0,839,Male,29135.0,1
51,75006.0,725,Female,29596.0,1
44,88852.0,655,Female,39991.0,0
37,132903.0,779,Female,70566.0,1
35,55986.0,664,Male,26395.0,1
31,129518.0,661,Male,29281.0,0
28,116160.0,672,Female,37517.0,1
58,107729.0,729,Male,33955.0,1
50,98292.0,628,Male,55635.0,0
24,144253.0,822,Female,78923.0,0
36,147948.0,706,Male,51495.0,0
57,79619.0,733,Female,18190.0,1
40,110305.0,694,Male,61511.0,1
34,141859.0,796,Female,78771.0,0
63,75374.0,749,Female,40845.0,0
42,101078.0,814,Male,54384.0,1
58,120097.0,630,Male,47090.0,1
48,44628.0,669,Male,12093.0,1
50,115714.0,782,Male,45244.0,1
41,67789.0,741,Female,26969.0,0
46,99808.0,762,Female,39521.0,1
27,123609.0,694,Male,51360.0,1
57,35270.0,650,Male,10689.0,1
23,114646.0,711,Male,39725.0,1
43,145958.0,809,Female,54541.0,0
53,81667.0,775,Male,20617.0,1
37,109417.0,843,Female,41813.0,1
39,128382.0,772,Female,67296.0,1
26,55176.0,831,Female,29311.0,0
57,113934.0,711,Male,41543.0,1
51,120594.0,772,Female,49145.0,0
40,110966.0,694,Male,23687.0,1
44,97166.0,830,Male,45646.0,1
55,69990.0,711,Female,25325.0,1
34,129786.0,748,Female,49084.0,0
64,95863.0,806,Male,52674.0,1
50,72403.0,816,Male,27856.0,1
57,87049.0,821,Male,18148.0,1
43,104210.0,661,Male,30325.0,0
57,55970.0,729,Male,21842.0,1
30,95448.0,781,Male,35293.0,0
60,84578.0,847,Male,46023.0,1
40,128401.0,813,Female,53524.0,0
59,48128.0,637,Female,22902.0,1
27,118469.0,696,Female,45934.0,0
36,130427.0,752,Male,49023.0,1
41,49073.0,639,Female,18575.0,1
30,52070.0,813,Female,18973.0,0
53,139648.0,746,Female,58014.0,1
25,72391.0,694,Female,21730.0,1
39,172371.0,681,Female,95911.0,0
26,49854.0,841,Female,16613.0,0
41,99251.0,843,Male,25707.0,1
44,94415.0,651,Female,22529.0,0
32,89795.0,805,Female,18441.0,1
58,106574.0,797,Female,39341.0,1
43,108016.0,785,Female,29709.0,0
25,90809.0,802,Male,18948.0,1
50,69646.0,647,Male,28416.0,1
55,121194.0,693,Female,57203.0,0
34,110701.0,833,Female,25937.0,1
63,97865.0,700,Female,37616.0,0
30,109909.0,641,Male,54674.0,0
63,114224.0,790,Male,67886.0,1
52,75957.0,830,Female,35462.0,0
28,109017.0,828,Female,32480.0,0
25,81174.0,835,Female,39501.0,0
40,115051.0,783,Male,50527.0,1
63,90190.0,715,Female,25679.0,0
51,110293.0,741,Male,59607.0,1
52,84155.0,742,Female,31218.0,0
56,111593.0,671,Male,65258.0,1
42,70531.0,783,Male,34501.0,1
52,95904.0,775,Female,43907.0,0
40,119516.0,697,Female,58723.0,1
52,106680.0,805,Male,41737.0,1
53,99801.0,783,Female,40129.0,0
23,140089.0,689,Male,75716.0,1
31,120591.0,756,Male,56964.0,1
23,116388.0,640,Male,65049.0,1
23,111451.0,683,Male,62003.0,1
45,114567.0,695,Female,67663.0,0
38,136428.0,680,Male,65497.0,1
53,84558.0,841,Male,33901.0,1
37,120235.0,714,Female,32046.0,0
37,103912.0,659,Male,50101.0,0
60,85422.0,803,Female,27047.0,0
52,92507.0,623,Male,28971.0,1
64,100479.0,650,Female,29673.0,0
45,73501.0,774,Male,40429.0,1
22,116600.0,805,Male,63802.0,0
32,92429.0,772,Male,41814.0,0
42,97123.0,688,Male,37800.0,1
25,128930.0,689,Male,60448.0,1
28,98244.0,624,Female,43511.0,0
47,133817.0,734,Female,49016.0,0
33,81880.0,710,Female,28810.0,0
52,67573.0,627,Female,23861.0,1
38,87750.0,628,Male,38229.0,0
54,30000.0,634,Male,13772.0,0
32,117644.0,847,Male,44787.0,0
49,69028.0,724,Male,40552.0,0
53,79558.0,626,Female,18580.0,0
22,112907.0,843,Female,38255.0,0
49,97978.0,691,Male,36020.0,1
63,83986.0,734,Male,17366.0,1
28,44086.0,634,Female,15253.0,1
23,127520.0,784,Female,39465.0,0
63,113077.0,702,Male,45504.0,0
45,146393.0,658,Female,48978.0,1
25,80091.0,753,Female,39282.0,1
40,58639.0,830,Male,23688.0,1
47,119869.0,676,Male,30196.0,0
32,90299.0,711,Female,45151.0,0
61,110704.0,700,Female,26535.0,0
64,135498.0,766,Female,72575.0,1
32,104704.0,746,Male,59950.0,0
24,99182.0,810,Male,32629.0,1
33,100750.0,778,Female,57474.0,0
24,54069.0,694,Female,27965.0,1
63,122701.0,698,Male,69814.0,0
48,124302.0,629,Female,57988.0,1
23,108264.0,726,Female,31858.0,0
37,57115.0,706,Female,31859.0,0
23,91971.0,686,Female,25173.0,0
51,130963.0,681,Female,37354.0,0
41,80856.0,750,Male,24938.0,1
59,124606.0,765,Female,40086.0,1
49,96377.0,772,Male,39109.0,1
46,112813.0,726,Female,54757.0,0
53,84696.0,767,Male,48318.0,1
31,97110.0,805,Female,22857.0,0
63,105918.0,712,Male,61617.0,1
61,67919.0,705,Male,38614.0,1
54,101848.0,797,Male,22569.0,0
34,30000.0,740,Male,10324.0,1
62,79962.0,698,Female,42001.0,0
63,108597.0,629,Female,48286.0,0
58,123007.0,768,Female,62935.0,0
37,106819.0,648,Male,52086.0,1
43,60242.0,715,Male,24019.0,1
41,120821.0,629,Male,26156.0,1
64,66521.0,632,Male,28851.0,1
48,110355.0,666,Female,24215.0,1
62,67354.0,770,Male,29736.0,0
37,75670.0,669,Male,39361.0,1
55,71091.0,834,Male,30853.0,1
53,98474.0,842,Male,58967.0,0
47,90112.0,751,Female,34454.0,0
46,107723.0,735,Female,53811.0,0
23,94534.0,732,Male,44137.0,1
33,57053.0,814,Male,34036.0,1
61,101895.0,704,Male,49449.0,1
30,50946.0,672,Male,13532.0,1
33,72904.0,749,Male,42445.0,1
47,85902.0,687,Female,40126.0,1
30,84170.0,812,Female,18832.0,0
31,53815.0,698,Female,24918.0,0
53,129279.0,676,Male,71523.0,1
55,136200.0,716,Male,58677.0,0
41,151269.0,817,Female,51675.0,0
60,123691.0,754,Female,65354.0,0
23,85114.0,766,Female,43664.0,0
22,84683.0,791,Male,35370.0,1
57,83303.0,682,Female,21804.0,1
45,144641.0,684,Male,43449.0,1
48,92111.0,658,Female,45631.0,0
23,126731.0,830,Female,66208.0,0
52,124786.0,728,Female,38897.0,0
35,99739.0,645,Male,34629.0,1
23,58709.0,791,Female,13565.0,0
50,92652.0,631,Male,44972.0,1
36,98674.0,769,Male,19876.0,1
33,126948.0,696,Male,27753.0,1
58,95486.0,839,Female,19263.0,0
49,64785.0,761,Male,29680.0,1
41,119698.0,705,Male,43924.0,1
60,89311.0,649,Female,28492.0,1
45,31369.0,791,Male,17726.0,1
42,103125.0,831,Female,28578.0,0
31,107519.0,838,Male,38250.0,0
35,73927.0,785,Male,42591.0,0
58,90199.0,806,Female,33450.0,0
39,111443.0,789,Male,47015.0,1
45,103295.0,671,Male,23978.0,1
35,55934.0,682,Female,28865.0,1
55,126339.0,808,Female,46632.0,1
33,137658.0,739,Female,71611.0,1
43,82245.0,724,Male,24799.0,0
27,47253.0,781,Male,17436.0,1
57,114278.0,658,Female,58810.0,1
57,78173.0,660,Female,46087.0,1
43,108386.0,740,Female,24262.0,0
35,150054.0,727,Female,78776.0,0
37,56342.0,784,Female,18045.0,1
57,75084.0,684,Male,31558.0,0
46,90138.0,737,Male,28487.0,1
53,127292.0,698,Female,56693.0,1
54,183890.0,779,Male,62802.0,0
57,101177.0,627,Male,33737.0,1
41,54194.0,716,Female,11661.0,0
39,86362.0,637,Female,22349.0,1
59,75628.0,792,Male,42869.0,1
24,113040.0,840,Male,67746.0,1
44,104422.0,715,Male,53486.0,0
53,68955.0,652,Female,21702.0,1
37,74163.0,624,Female,26771.0,1
26,85999.0,829,Male,42638.0,0
25,89016.0,746,Male,52289.0,1
42,93945.0,693,Female,35905.0,0
61,96222.0,745,Male,51172.0,0
35,125871.0,783,Female,74268.0,0
60,85095.0,844,Female,46750.0,1
52,81411.0,770,Male,23679.0,1
35,61531.0,787,Female,12504.0,0
27,89404.0,624,Male,35478.0,1
33,101405.0,653,Male,41834.0,0
37,51898.0,643,Female,14557.0,0
38,86439.0,764,Male,27131.0,1
44,124007.0,714,Female,62755.0,0
35,111208.0,690,Female,43164.0,1
28,104336.0,828,Male,34112.0,1
53,110530.0,711,Male,49634.0,1
36,80657.0,849,Male,37191.0,1
38,77327.0,744,Male,39263.0,1
62,126798.0,641,Male,33308.0,1
55,115716.0,634,Male,57465.0,1
26,76343.0,720,Male,33574.0,1
48,48032.0,634,Female,10712.0,0
44,76862.0,772,Female,39275.0,1
61,108588.0,672,Female,38357.0,0
35,78543.0,768,Male,26088.0,0
36,103252.0,721,Male,39156.0,0
64,130494.0,813,Female,44168.0,0
54,92674.0,838,Male,31075.0,1
52,100849.0,732,Male,52767.0,1
56,112123.0,651,Female,28008.0,1
38,67948.0,640,Female,39970.0,0
49,75674.0,815,Female,31932.0,1
40,113154.0,791,Male,30910.0,1
44,95924.0,702,Female,24220.0,1
53,98044.0,813,Female,42806.0,0
61,95832.0,837,Female,43431.0,0
34,119457.0,845,Female,26425.0,0
41,105893.0,633,Female,31471.0,0
56,106221.0,634,Female,55042.0,1
26,125555.0,767,Male,27603.0,1
30,135164.0,653,Female,73264.0,0
50,151090.0,783,Female,69995.0,1
27,80525.0,702,Female,30098.0,0
46,156735.0,628,Male,53066.0,1
52,67581.0,818,Male,14036.0,1
43,143381.0,777,Female,76004.0,0
23,79151.0,696,Female,20349.0,1
26,93277.0,838,Female,30204.0,1
48,95464.0,810,Female,40825.0,0
46,73326.0,782,Female,21880.0,1
29,97168.0,760,Female,38756.0,1
22,74617.0,826,Female,39079.0,1
41,64126.0,793,Female,24895.0,0
44,94032.0,803,Female,54500.0,0
53,134747.0,628,Male,72629.0,1
32,88650.0,834,Male,29539.0,1
60,118526.0,655,Female,42667.0,0
45,73858.0,736,Male,27278.0,0
32,62913.0,622,Male,28341.0,1
50,106347.0,845,Male,33469.0,1
47,138890.0,638,Male,81626.0,1
37,100224.0,775,Male,44447.0,0
56,115666.0,642,Male,41612.0,1
41,132378.0,723,Female,60630.0,1
24,94087.0,754,Female,33698.0,0
22,91198.0,724,Male,48072.0,1
22,106802.0,823,Male,45619.0,0
38,111250.0,761,Female,24118.0,1
23,60026.0,665,Male,16249.0,0
50,102393.0,762,Female,55906.0,0
41,94983.0,814,Female,40383.0,0
27,75262.0,634,Female,43662.0,0
29,93255.0,670,Male,21352.0,1
50,65867.0,835,Female,20953.0,0
54,57227.0,729,Male,15876.0,1
24,96671.0,627,Female,40750.0,1
56,117552.0,688,Female,41510.0,1
26,86318.0,809,Male,22694.0,1
48,70982.0,798,Male,32446.0,1
33,74868.0,682,Male,31034.0,1
41,108724.0,687,Female,33693.0,0
41,136685.0,825,Male,53568.0,1
30,114261.0,763,Female,56936.0,0
60,127520.0,831,Male,35974.0,1
25,68809.0,771,Female,21824.0,0
40,93152.0,625,Female,31527.0,1
59,120467.0,738,Female,60076.0,0
48,60021.0,676,Female,32337.0,0
64,78541.0,650,Male,27533.0,1
